city;district;front;size;property_age;bedrooms;bathrooms;livingrooms;kitchen;garage;driver_room;maid_room;furnished;ac;roof;pool;frontyard;basement;duplex;stairs;elevator;fireplace;price;
 «·—Ì«÷;   ÕÌ «·‰—Ã” ;‘„«· ‘—ﬁÌ;450;0;5;4;3;1;1;1;0;0;1;1;0;1;1;0;1;0;0;110000;
 «·—Ì«÷;   ÕÌ «·⁄ﬁÌﬁ ;‘„«·;600;4;5;5;3;1;1;1;1;0;1;1;0;1;0;0;0;0;0;180000;
 «·—Ì«÷;   ÕÌ «·⁄·Ì« ;‘„«·;500;27;5;5;2;1;1;0;0;0;0;1;0;1;0;0;0;0;0;115000;
 «·—Ì«÷;   ÕÌ ⁄ﬂ«Ÿ ;‘—ﬁ;360;0;6;3;1;1;1;0;1;0;0;1;0;1;0;0;1;0;1;40000;
 «·—Ì«÷;   ÕÌ «·Ê—Êœ ;€—»;400;10;3;4;1;1;1;1;1;0;1;0;1;1;1;0;1;0;0;80000;
 «·—Ì«÷;   ÕÌ «·‰—Ã” ;‘„«· ‘—ﬁÌ;450;0;5;5;3;1;1;1;1;0;1;1;0;1;0;0;1;0;0;110000;
 «·—Ì«÷;   ÕÌ «·„Ê‰”Ì… ;‘—ﬁ;200;2;7;5;2;1;1;0;1;0;0;0;0;0;0;1;1;0;0;65000;
 «·—Ì«÷;   ÕÌ «·—Ê÷… ;Ã‰Ê»;352;30;7;5;2;1;1;0;1;0;1;1;0;1;0;0;1;0;1;80000;
 «·—Ì«÷;   ÕÌ «·„·ﬁ« ;Ã‰Ê»;200;3;5;5;1;1;1;0;1;0;1;0;0;0;0;0;1;0;0;85000;
 «·—Ì«÷;   ÕÌ «·⁄«—÷ ;‘—ﬁ;375;0;4;5;1;1;0;1;1;0;1;1;0;0;0;0;1;0;0;110000;
 «·—Ì«÷;   ÕÌ «·›ÌÕ«¡ ;‘„«· €—»Ì;650;5;7;5;3;1;1;0;1;0;1;1;1;1;1;0;1;0;1;120000;
 «·—Ì«÷;   ÕÌ «·‰„Ê–ÃÌ… ;‘„«· ‘—ﬁÌ;900;4;5;5;5;1;1;1;1;0;0;1;1;1;0;0;1;0;0;300000;
 «·—Ì«÷;   ÕÌ «·„Ê‰”Ì… ;Ã‰Ê»;360;2;4;3;1;1;1;1;0;0;0;1;0;1;0;0;1;0;0;55000;
 «·—Ì«÷;   ÕÌ «·—»Ê… ;€—»;330;10;5;5;2;1;0;1;1;0;1;0;0;1;0;0;1;0;0;79000;
 «·—Ì«÷;   ÕÌ «·ﬁÌ—Ê«‰ ;‘—ﬁ;500;0;5;4;2;1;1;0;1;0;0;0;0;1;0;0;1;0;0;35000;
 «·—Ì«÷;   ÕÌ «·⁄«—÷ ;‘„«·;250;0;5;5;1;1;1;0;1;0;0;0;0;1;0;1;1;0;0;80000;
 «·—Ì«÷;   ÕÌ ⁄·Ì‘… ;‘„«·;325;12;5;4;2;1;0;0;1;0;1;0;0;0;0;0;1;0;0;50000;
 «·—Ì«÷;   ÕÌ «·—„«· ;€—»;310;0;7;4;1;1;1;0;0;0;0;1;0;1;0;1;1;0;1;56000;
 «·—Ì«÷;   ÕÌ «·”·Ì„«‰Ì… ;€—»;220;9;4;4;3;1;1;0;1;0;1;0;0;1;0;1;1;0;0;90000;
 «·—Ì«÷;   ÕÌ «·„·ﬂ ›Ì’· ;€—»;250;15;7;5;2;1;0;0;1;0;1;0;0;1;0;1;1;0;0;40000;
 «·—Ì«÷;   ÕÌ «·„·ﬁ« ;‘—ﬁ;200;3;5;5;5;1;1;1;1;0;0;1;1;1;0;0;1;0;0;85000;
 «·—Ì«÷;   ÕÌ «·—„«· ;‘—ﬁ;298;0;3;4;2;1;0;0;1;0;0;0;0;1;0;0;1;0;1;45000;
 «·—Ì«÷;   ÕÌ «·—„«· ;Ã‰Ê»;300;0;6;5;1;0;1;0;1;0;0;1;0;1;0;0;1;0;0;40000;
 «·—Ì«÷;   ÕÌ «·‰—Ã” ;‘—ﬁ;250;0;4;5;2;1;1;1;1;0;1;1;0;1;0;0;1;0;0;90000;
 «·—Ì«÷;   ÕÌ «·⁄ﬁÌﬁ ;Ã‰Ê»;300;6;4;5;3;1;1;1;1;0;1;0;0;1;1;1;0;0;0;120000;
 «·—Ì«÷;   ÕÌ «·Ê—Êœ ;‘„«· ‘—ﬁÌ;580;20;7;5;1;1;1;1;1;0;1;0;0;1;0;0;1;0;0;150000;
 «·—Ì«÷;   ÕÌ «·‰—Ã” ;‘—ﬁ;230;0;3;5;2;1;1;1;1;0;1;0;0;1;0;0;1;0;0;90000;
 «·—Ì«÷;   ÕÌ ÕÿÌ‰ ;‘„«·;460;0;5;5;3;1;1;1;1;1;1;1;1;1;0;0;0;0;0;400000;
 «·—Ì«÷;   ÕÌ «·„·ﬁ« ;‘—ﬁ;228;0;4;5;2;1;1;1;1;0;1;0;0;1;0;1;1;0;0;150000;
 «·—Ì«÷;   ÕÌ «·⁄«—÷ ;‘„«·;200;4;5;5;2;1;1;1;1;1;1;1;0;1;0;1;1;0;1;110000;
 «·—Ì«÷;   ÕÌ «·Ì«”„Ì‰ ;‘„«· ‘—ﬁÌ;350;4;5;5;2;1;1;1;1;0;1;0;0;1;0;0;1;0;1;125000;
 «·—Ì«÷;   ÕÌ «·”·Ì„«‰Ì… ;Ã‰Ê» €—»Ì;300;7;4;3;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0;125000;
 «·—Ì«÷;   ÕÌ «·⁄«—÷ ;‘„«·;250;0;5;5;1;1;1;0;1;0;0;0;0;1;0;1;1;0;0;80000;
 «·—Ì«÷;   ÕÌ «·„‰«Œ ;‘„«·;600;5;7;5;5;1;0;0;0;0;0;0;0;1;0;0;1;0;0;140000;
 «·—Ì«÷;   ÕÌ «·Õ“„ ;‘—ﬁ;298;0;5;5;3;1;1;0;1;0;0;1;0;1;0;1;1;0;0;50000;
 «·—Ì«÷;   ÕÌ «·—„«· ;‘„«·;300;0;4;5;1;1;1;1;1;0;0;0;0;1;0;0;1;0;0;45000;
 «·—Ì«÷;   ÕÌ «·⁄«—÷ ;Ã‰Ê»;300;0;4;5;2;1;1;1;1;0;1;0;0;1;0;0;1;0;0;85000;
 «·—Ì«÷;   ÕÌ «·»œÌ⁄… ;‘„«·;1600;35;5;5;5;1;1;1;1;0;0;1;0;1;0;0;1;0;0;70000;
 «·—Ì«÷;   ÕÌ «·‰—Ã” ;‘—ﬁ;250;0;4;5;2;1;1;1;1;0;1;1;0;1;0;0;1;0;0;90000;
 «·—Ì«÷;   ÕÌ «·⁄«—÷ ;‘—ﬁ;375;3;5;5;2;1;1;1;1;1;1;1;0;1;0;0;1;0;1;110000;
 «·—Ì«÷;   ÕÌ «·‘Âœ«¡ ;‘—ﬁ;300;15;7;5;2;0;1;1;1;0;0;0;0;1;0;1;1;0;0;50000;
 «·—Ì«÷;   ÕÌ «·—Ê÷… ;€—»;3000;19;3;5;5;1;1;1;1;1;1;0;1;1;1;0;0;0;0;250000;
 «·—Ì«÷;   ÕÌ ﬁ—ÿ»… ;‘—ﬁ;312;10;4;5;2;1;0;1;1;0;1;0;0;1;0;0;1;0;1;85000;
 «·—Ì«÷;   ÕÌ «·’Õ«›… ;€—»;350;2;5;5;2;1;0;1;1;0;1;0;0;1;1;0;1;0;1;90000;
 «·—Ì«÷;   ÕÌ «·⁄—ÌÃ«¡ «·€—»Ì… ;3 ‘Ê«—⁄;1600;4;5;5;3;1;1;1;1;0;0;1;0;1;0;0;0;0;0;250000;
 «·—Ì«÷;   ÕÌ «·⁄«—÷ ;Ã‰Ê»;300;0;4;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85000;
 «·—Ì«÷;   ÕÌ «·„Ê‰”Ì… ;‘—ﬁ;253;5;4;5;1;1;1;0;1;0;1;1;0;1;0;0;1;0;0;50000;
 «·—Ì«÷;   ÕÌ «·‰›· ;€—»;500;0;7;5;2;1;1;1;1;0;1;0;0;1;0;0;1;0;0;160000;
 «·—Ì«÷;   ÕÌ «·ﬁœ” ;Ã‰Ê»;1000;25;5;5;3;1;1;1;1;0;1;1;1;1;1;0;1;0;1;160000;
 «·—Ì«÷;   ÕÌ «·⁄«—÷ ;‘„«·;250;0;5;5;1;1;1;0;1;0;0;0;0;1;0;1;1;0;0;80000;
 «·—Ì«÷;   ÕÌ «·—Ê÷… ;€—»;300;0;4;4;2;1;1;0;1;0;1;0;0;1;0;0;1;0;0;85000;
 «·—Ì«÷;   ÕÌ «·—Ê÷… ;Ã‰Ê»;352;30;7;5;2;1;1;0;1;0;1;1;0;1;0;0;1;0;1;80000;
 «·—Ì«÷;   ÕÌ «·„Ê‰”Ì… ;‘—ﬁ;225;0;4;3;2;1;1;0;1;0;1;0;0;1;0;0;1;0;0;100000;
 «·—Ì«÷;   ÕÌ «·”·Ì„«‰Ì… ;‘„«·;200;8;4;5;2;1;1;1;1;0;0;0;0;0;0;1;0;0;0;90000;
 «·—Ì«÷;   ÕÌ «·”·Ì„«‰Ì… ;Ã‰Ê»;220;8;4;4;3;1;1;0;1;0;1;0;0;1;0;0;1;0;0;90000;
 «·—Ì«÷;   ÕÌ «·⁄«—÷ ;Ã‰Ê»;300;0;4;5;2;1;1;1;1;0;1;0;0;0;0;0;1;0;0;85000;
 «·—Ì«÷;   ÕÌ «·—„«· ;‘„«· ‘—ﬁÌ;280;0;5;5;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;42000;
 «·—Ì«÷;   ÕÌ «·„·ﬂ ›Âœ ;‘—ﬁ;270;30;3;5;3;1;1;1;1;0;1;0;0;1;0;1;1;0;0;70000;
 «·—Ì«÷;   ÕÌ «·⁄“Ì“Ì… ;Ã‰Ê»;312;4;5;5;2;1;1;0;1;1;1;0;0;1;0;0;1;1;0;90000;
 «·—Ì«÷;   ÕÌ ÕÿÌ‰ ;‘„«·;400;0;4;5;3;1;1;1;1;1;1;0;1;1;0;0;1;0;0;400000;
